candidate,votes,pct,office,precinct,district,party
Write-in,6,0.25%,State Senate,503,20,
Cast Votes: ,2402,90.92%,State Senate,503,20,
Over Votes: ,0,0.00%,State Senate,503,20,
Under Votes: ,240,9.08%,State Senate,503,20,
Steve Newgard,1123,45.78%,State House,503,40,
Brent Barton,1325,54.02%,State House,503,40,
Write-in,5,0.20%,State House,503,40,
Cast Votes:,2453,92.85%,State House,503,40,
Over Votes:,0,0.00%,State House,503,40,
Under Votes:,189,7.15%,State House,503,40,
Mike Montchalin,64,4.37%,U.S. Senate,504,,
Jeff Merkley,848,57.84%,U.S. Senate,504,,
Christina Jean Lugo,32,2.18%,U.S. Senate,504,,
James E Leuenberger,23,1.57%,U.S. Senate,504,,
Monica Wehby,493,33.63%,U.S. Senate,504,,
Write-in,6,0.41%,U.S. Senate,504,,
Cast Votes: ,1466,96.19%,U.S. Senate,504,,
Over Votes: ,0,0.00%,U.S. Senate,504,,
Under Votes: ,58,3.81%,U.S. Senate,504,,
Raymond Baldwin,50,3.48%,U.S. House,504,5,
Daniel K Souza,37,2.57%,U.S. House,504,5,
Kurt Schrader,822,57.20%,U.S. House,504,5,
Tootie Smith,470,32.71%,U.S. House,504,5,
Marvin Sannes,52,3.62%,U.S. House,504,5,
Write-in,6,0.42%,U.S. House,504,5,
Cast Votes: ,1437,94.29%,U.S. House,504,5,
Over Votes: ,0,0.00%,U.S. House,504,5,
Under Votes: ,87,5.71%,U.S. House,504,5,
Dennis Richardson,630,43.12%,Governor,504,,
Chris Henry,17,1.16%,Governor,504,,
Aaron Auer,16,1.10%,Governor,504,,
John  Kitzhaber,729,49.90%,Governor,504,,
Paul Grad,30,2.05%,Governor,504,,
Jason  Levin,26,1.78%,Governor,504,,
Write-in,13,0.89%,Governor,504,,
Cast Votes: ,1461,95.87%,Governor,504,,
Over Votes: ,0,0.00%,Governor,504,,
Under Votes: ,63,4.13%,Governor,504,,
Alan R Olsen,562,39.91%,State Senate,504,20,
Jamie Damon,836,59.38%,State Senate,504,20,
Write-in,10,0.71%,State Senate,504,20,
Cast Votes: ,1408,92.39%,State Senate,504,20,
Over Votes: ,0,0.00%,State Senate,504,20,
Under Votes: ,116,7.61%,State Senate,504,20,
Steve Newgard,589,41.51%,State House,504,40,
Brent Barton,819,57.72%,State House,504,40,
Write-in,11,0.78%,State House,504,40,
Cast Votes: ,1419,93.11%,State House,504,40,
Over Votes:,0,0.00%,State House,504,40,
Under Votes: ,105,6.89%,State House,504,40,
Mike Montchalin,38,3.13%,U.S. Senate,505,,
Jeff Merkley,741,60.94%,U.S. Senate,505,,
Christina Jean Lugo,16,1.32%,U.S. Senate,505,,
James E Leuenberger,18,1.48%,U.S. Senate,505,,
Monica Wehby,392,32.24%,U.S. Senate,505,,
Write-in,11,0.90%,U.S. Senate,505,,
Cast Votes: ,1216,93.68%,U.S. Senate,505,,
Over Votes: ,1,0.08%,U.S. Senate,505,,
Under Votes: ,81,6.24%,U.S. Senate,505,,
Raymond Baldwin,17,1.40%,U.S. House,505,5,
Daniel K Souza,26,2.15%,U.S. House,505,5,
Kurt Schrader,741,61.24%,U.S. House,505,5,
Tootie Smith,391,32.31%,U.S. House,505,5,
Marvin Sannes,33,2.73%,U.S. House,505,5,
Write-in,2,0.17%,U.S. House,505,5,
Cast Votes: ,1210,93.22%,U.S. House,505,5,
Over Votes: ,0,0.00%,U.S. House,505,5,
Under Votes: ,88,6.78%,U.S. House,505,5,
Dennis Richardson,524,41.89%,Governor,505,,
Chris Henry,14,1.12%,Governor,505,,
Aaron Auer,10,0.80%,Governor,505,,
John  Kitzhaber,654,52.28%,Governor,505,,
Paul Grad,19,1.52%,Governor,505,,
Jason  Levin,21,1.68%,Governor,505,,
Write-in,9,0.72%,Governor,505,,
Cast Votes: ,1251,96.38%,Governor,505,,
Over Votes: ,0,0.00%,Governor,505,,
Under Votes: ,47,3.62%,Governor,505,,
Alan R Olsen,484,40.84%,State Senate,505,20,
Jamie Damon,695,58.65%,State Senate,505,20,
Write-in,6,0.51%,State Senate,505,20,
Cast Votes: ,1185,91.29%,State Senate,505,20,
Over Votes: ,0,0.00%,State Senate,505,20,
Under Votes: ,113,8.71%,State Senate,505,20,
Steve Newgard,506,42.45%,State House,505,40,
Brent Barton,680,57.05%,State House,505,40,
Write-in,6,0.50%,State House,505,40,
Cast Votes: ,1192,91.83%,State House,505,40,
Over Votes:,0,0.00%,State House,505,40,
Under Votes: ,106,8.17%,State House,505,40,
Mike Montchalin,68,4.26%,U.S. Senate,506,,
Jeff Merkley,923,57.87%,U.S. Senate,506,,
Christina Jean Lugo,18,1.13%,U.S. Senate,506,,
James E Leuenberger,26,1.63%,U.S. Senate,506,,
Monica Wehby,555,34.80%,U.S. Senate,506,,
Write-in,5,0.31%,U.S. Senate,506,,
Cast Votes: ,1595,93.49%,U.S. Senate,506,,
Over Votes: ,0,0.00%,U.S. Senate,506,,
Under Votes: ,111,6.51%,U.S. Senate,506,,
Raymond Baldwin,41,2.56%,U.S. House,506,5,
Daniel K Souza,27,1.68%,U.S. House,506,5,
Kurt Schrader,933,58.20%,U.S. House,506,5,
Tootie Smith,566,35.31%,U.S. House,506,5,
Marvin Sannes,34,2.12%,U.S. House,506,5,
Write-in,2,0.12%,U.S. House,506,5,
Cast Votes: ,1603,93.96%,U.S. House,506,5,
Over Votes: ,0,0.00%,U.S. House,506,5,
Under Votes: ,103,6.04%,U.S. House,506,5,
Dennis Richardson,720,44.28%,Governor,506,,
Chris Henry,22,1.35%,Governor,506,,
Aaron Auer,29,1.78%,Governor,506,,
John  Kitzhaber,798,49.08%,Governor,506,,
Paul Grad,32,1.97%,Governor,506,,
Jason  Levin,19,1.17%,Governor,506,,
Write-in,6,0.37%,Governor,506,,
Cast Votes: ,1626,95.31%,Governor,506,,
Over Votes: ,0,0.00%,Governor,506,,
Under Votes: ,80,4.69%,Governor,506,,
Alan R Olsen,679,43.44%,State Senate,506,20,
Jamie Damon,878,56.17%,State Senate,506,20,
Write-in,6,0.38%,State Senate,506,20,
Cast Votes: ,1563,91.62%,State Senate,506,20,
Over Votes: ,0,0.00%,State Senate,506,20,
Under Votes: ,143,8.38%,State Senate,506,20,
Steve Newgard,670,42.51%,State House,506,40,
Brent Barton,898,56.98%,State House,506,40,
Write-in,8,0.51%,State House,506,40,
Cast Votes: ,1576,92.38%,State House,506,40,
Over Votes: ,0,0.00%,State House,506,40,
Under Votes: ,130,7.62%,State House,506,40,
Mike Montchalin,25,3.48%,U.S. Senate,510,,
Jeff Merkley,348,48.40%,U.S. Senate,510,,
Christina Jean Lugo,10,1.39%,U.S. Senate,510,,
James E Leuenberger,9,1.25%,U.S. Senate,510,,
Monica Wehby,323,44.92%,U.S. Senate,510,,
Write-in,4,0.56%,U.S. Senate,510,,
Cast Votes: ,719,94.85%,U.S. Senate,510,,
Over Votes: ,0,0.00%,U.S. Senate,510,,
Under Votes: ,39,5.15%,U.S. Senate,510,,
Raymond Baldwin,17,2.42%,U.S. House,510,5,
Daniel K Souza,13,1.85%,U.S. House,510,5,
Kurt Schrader,358,51.00%,U.S. House,510,5,
Tootie Smith,294,41.88%,U.S. House,510,5,
Marvin Sannes,18,2.56%,U.S. House,510,5,
Write-in,2,0.28%,U.S. House,510,5,
Cast Votes: ,702,92.61%,U.S. House,510,5,
Over Votes: ,0,0.00%,U.S. House,510,5,
Under Votes: ,56,7.39%,U.S. House,510,5,
Dennis Richardson,394,54.42%,Governor,510,,
Chris Henry,5,0.69%,Governor,510,,
Aaron Auer,7,0.97%,Governor,510,,
John  Kitzhaber,286,39.50%,Governor,510,,
Paul Grad,14,1.93%,Governor,510,,
Jason  Levin,16,2.21%,Governor,510,,
Write-in,2,0.28%,Governor,510,,
Cast Votes: ,724,95.51%,Governor,510,,
Over Votes: ,0,0.00%,Governor,510,,
Under Votes: ,34,4.49%,Governor,510,,
Alan R Olsen,354,52.29%,State Senate,510,20,
Jamie Damon,320,47.27%,State Senate,510,20,
Write-in,3,0.44%,State Senate,510,20,
Cast Votes: ,677,89.31%,State Senate,510,20,
Over Votes: ,0,0.00%,State Senate,510,20,
Under Votes: ,81,10.69%,State Senate,510,20,
Steve Newgard,364,53.14%,State House,510,40,
Brent Barton,318,46.42%,State House,510,40,
Write-in,3,0.44%,State House,510,40,
Cast Votes: ,685,90.37%,State House,510,40,
Over Votes:,0,0.00%,State House,510,40,
Under Votes:,73,9.63%,State House,510,40,
Mike Montchalin,47,2.66%,U.S. Senate,511,,
Jeff Merkley,773,43.70%,U.S. Senate,511,,
Christina Jean Lugo,32,1.81%,U.S. Senate,511,,
James E Leuenberger,34,1.92%,U.S. Senate,511,,
Monica Wehby,874,49.41%,U.S. Senate,511,,
Write-in,9,0.51%,U.S. Senate,511,,
Cast Votes: ,1769,95.83%,U.S. Senate,511,,
Over Votes: ,0,0.00%,U.S. Senate,511,,
Under Votes: ,77,4.17%,U.S. Senate,511,,
Raymond Baldwin,39,2.21%,U.S. House,511,5,
Daniel K Souza,15,0.85%,U.S. House,511,5,
Kurt Schrader,825,46.74%,U.S. House,511,5,
Tootie Smith,843,47.76%,U.S. House,511,5,
Marvin Sannes,37,2.10%,U.S. House,511,5,
Write-in,6,0.34%,U.S. House,511,5,
Cast Votes: ,1765,95.61%,U.S. House,511,5,
Over Votes: ,0,0.00%,U.S. House,511,5,
Under Votes: ,81,4.39%,U.S. House,511,5,
Dennis Richardson,1052,58.57%,Governor,511,,
Chris Henry,19,1.06%,Governor,511,,
Aaron Auer,18,1.00%,Governor,511,,
John  Kitzhaber,663,36.92%,Governor,511,,
Paul Grad,16,0.89%,Governor,511,,
Jason  Levin,23,1.28%,Governor,511,,
Write-in,5,0.28%,Governor,511,,
Cast Votes: ,1796,97.29%,Governor,511,,
Over Votes: ,0,0.00%,Governor,511,,
Under Votes: ,50,2.71%,Governor,511,,
Alan R Olsen,1034,60.15%,State Senate,511,20,
Jamie Damon,681,39.62%,State Senate,511,20,
Write-in,4,0.23%,State Senate,511,20,
Cast Votes: ,1719,93.12%,State Senate,511,20,
Over Votes: ,0,0.00%,State Senate,511,20,
Under Votes: ,127,6.88%,State Senate,511,20,
Bill Kennemer ,1281,96.68%,State House,511,39,
Write-in ,44,3.32%,State House,511,39,
Cast Votes: ,1325,71.78%,State House,511,39,
Over Votes:,0,0.00%,State House,511,39,
Under Votes: ,521,28.22%,State House,511,39,
Mike Montchalin,37,3.83%,U.S. Senate,512,,
Jeff Merkley,480,49.74%,U.S. Senate,512,,
Christina Jean Lugo,25,2.59%,U.S. Senate,512,,
James E Leuenberger,24,2.49%,U.S. Senate,512,,
Monica Wehby,389,40.31%,U.S. Senate,512,,
Write-in,10,1.04%,U.S. Senate,512,,
Cast Votes: ,965,94.61%,U.S. Senate,512,,
Over Votes: ,0,0.00%,U.S. Senate,512,,
Under Votes: ,55,5.39%,U.S. Senate,512,,
Raymond Baldwin,21,2.16%,U.S. House,512,5,
Daniel K Souza,25,2.57%,U.S. House,512,5,
Kurt Schrader,526,54.17%,U.S. House,512,5,
Tootie Smith,360,37.08%,U.S. House,512,5,
Marvin Sannes,30,3.09%,U.S. House,512,5,
Write-in,9,0.93%,U.S. House,512,5,
Cast Votes: ,971,95.20%,U.S. House,512,5,
Over Votes: ,1,0.10%,U.S. House,512,5,
Under Votes: ,48,4.71%,U.S. House,512,5,
Dennis Richardson,498,50.82%,Governor,512,,
Chris Henry,16,1.63%,Governor,512,,
Aaron Auer,16,1.63%,Governor,512,,
John  Kitzhaber,407,41.53%,Governor,512,,
Paul Grad,15,1.53%,Governor,512,,
Jason  Levin,17,1.73%,Governor,512,,
Write-in,11,1.12%,Governor,512,,
Cast Votes: ,980,96.08%,Governor,512,,
Over Votes: ,0,0.00%,Governor,512,,
Under Votes: ,40,3.92%,Governor,512,,
Alan R Olsen,457,49.25%,State Senate,512,20,
Jamie Damon,462,49.78%,State Senate,512,20,
Write-in,9,0.97%,State Senate,512,20,
Cast Votes: ,928,90.98%,State Senate,512,20,
Over Votes: ,0,0.00%,State Senate,512,20,
Under Votes: ,92,9.02%,State Senate,512,20,
Steve Newgard,454,48.71%,State House,512,40,
Brent Barton,469,50.32%,State House,512,40,
Write-in,9,0.97%,State House,512,40,
Cast Votes: ,932,91.37%,State House,512,40,
Over Votes:  ,0,0.00%,State House,512,40,
Under Votes:,88,8.63%,State House,512,40,
Mike Montchalin,51,3.26%,U.S. Senate,513,,
Jeff Merkley,713,45.59%,U.S. Senate,513,,
Christina Jean Lugo,25,1.60%,U.S. Senate,513,,
James E Leuenberger,35,2.24%,U.S. Senate,513,,
Monica Wehby,722,46.16%,U.S. Senate,513,,
Write-in,18,1.15%,U.S. Senate,513,,
Cast Votes: ,1564,96.36%,U.S. Senate,513,,
Over Votes: ,0,0.00%,U.S. Senate,513,,
Under Votes: ,59,3.64%,U.S. Senate,513,,
Michael Meo,22,1.45%,U.S. House,513,3,
James Buchal,693,45.65%,U.S. House,513,3,
Earl Blumenauer,751,49.47%,U.S. House,513,3,
Jeffrey J Langan,32,2.11%,U.S. House,513,3,
David Walker,20,1.32%,U.S. House,513,3,
Write-in,0,0.00%,U.S. House,513,3,
Cast Votes: ,1518,93.53%,U.S. House,513,3,
Over Votes: ,0,0.00%,U.S. House,513,3,
Under Votes: ,105,6.47%,U.S. House,513,3,
Dennis Richardson,872,55.40%,Governor,513,,
Chris Henry,11,0.70%,Governor,513,,
Aaron Auer,10,0.64%,Governor,513,,
John  Kitzhaber,630,40.03%,Governor,513,,
Paul Grad,27,1.72%,Governor,513,,
Jason  Levin,21,1.33%,Governor,513,,
Write-in,3,0.19%,Governor,513,,
Cast Votes: ,1574,96.98%,Governor,513,,
Over Votes: ,0,0.00%,Governor,513,,
Under Votes: ,49,3.02%,Governor,513,,
Alan R Olsen,821,54.73%,State Senate,513,20,
Jamie Damon,677,45.13%,State Senate,513,20,
Write-in,2,0.13%,State Senate,513,20,
Cast Votes: ,1500,92.42%,State Senate,513,20,
Over Votes: ,0,0.00%,State Senate,513,20,
Under Votes: ,123,7.58%,State Senate,513,20,
Bill Kennemer ,1116,95.88%,State House,513,39,
Write-in ,48,4.12%,State House,513,39,
Cast Votes: ,1164,71.72%,State House,513,39,
Over Votes:,0,0.00%,State House,513,39,
Under Votes: ,459,28.28%,State House,513,39,
Mike Montchalin,90,3.37%,U.S. Senate,514,,
Jeff Merkley,1189,44.52%,U.S. Senate,514,,
Christina Jean Lugo,32,1.20%,U.S. Senate,514,,
James E Leuenberger,64,2.40%,U.S. Senate,514,,
Monica Wehby,1269,47.51%,U.S. Senate,514,,
Write-in,27,1.01%,U.S. Senate,514,,
Cast Votes: ,2671,94.75%,U.S. Senate,514,,
Over Votes: ,0,0.00%,U.S. Senate,514,,
Under Votes: ,148,5.25%,U.S. Senate,514,,
Michael Meo,39,1.50%,U.S. House,514,3,
James Buchal,1256,48.33%,U.S. House,514,3,
Earl Blumenauer,1198,46.09%,U.S. House,514,3,
Jeffrey J Langan,60,2.31%,U.S. House,514,3,
David Walker,32,1.23%,U.S. House,514,3,
Write-in,14,0.54%,U.S. House,514,3,
Cast Votes: ,2599,92.20%,U.S. House,514,3,
Over Votes: ,0,0.00%,U.S. House,514,3,
Under Votes: ,220,7.80%,U.S. House,514,3,
Dennis Richardson,1588,58.40%,Governor,514,,
Chris Henry,23,0.85%,Governor,514,,
Aaron Auer,32,1.18%,Governor,514,,
John  Kitzhaber,1000,36.78%,Governor,514,,
Paul Grad,34,1.25%,Governor,514,,
Jason  Levin,32,1.18%,Governor,514,,
Write-in,10,0.37%,Governor,514,,
Cast Votes: ,2719,96.45%,Governor,514,,
Over Votes: ,1,0.04%,Governor,514,,
Under Votes: ,99,3.51%,Governor,514,,
Alan R Olsen,1533,59.28%,State Senate,514,20,
Jamie Damon,1038,40.14%,State Senate,514,20,
Write-in,15,0.58%,State Senate,514,20,
Cast Votes: ,2586,91.73%,State Senate,514,20,
Over Votes: ,1,0.04%,State Senate,514,20,
Under Votes: ,232,8.23%,State Senate,514,20,
Bill Kennemer ,1824,95.60%,State House,514,39,
Write-in ,84,4.40%,State House,514,39,
Cast Votes: ,1908,67.68%,State House,514,39,
Over Votes: ,0,0.00%,State House,514,39,
Under Votes:,911,32.32%,State House,514,39,
Mike Montchalin,20,2.77%,U.S. Senate,515,,
Jeff Merkley,372,51.60%,U.S. Senate,515,,
Christina Jean Lugo,10,1.39%,U.S. Senate,515,,
James E Leuenberger,9,1.25%,U.S. Senate,515,,
Monica Wehby,304,42.16%,U.S. Senate,515,,
Write-in,6,0.83%,U.S. Senate,515,,
Cast Votes: ,721,95.88%,U.S. Senate,515,,
Over Votes: ,1,0.13%,U.S. Senate,515,,
Under Votes: ,30,3.99%,U.S. Senate,515,,
Michael Meo,13,1.83%,U.S. House,515,3,
James Buchal,289,40.65%,U.S. House,515,3,
Earl Blumenauer,377,53.02%,U.S. House,515,3,
Jeffrey J Langan,11,1.55%,U.S. House,515,3,
David Walker,17,2.39%,U.S. House,515,3,
Write-in,4,0.56%,U.S. House,515,3,
Cast Votes: ,711,94.55%,U.S. House,515,3,
Over Votes: ,0,0.00%,U.S. House,515,3,
Under Votes: ,41,5.45%,U.S. House,515,3,
Dennis Richardson,352,49.16%,Governor,515,,
Chris Henry,7,0.98%,Governor,515,,
Aaron Auer,10,1.40%,Governor,515,,
John  Kitzhaber,324,45.25%,Governor,515,,
Paul Grad,5,0.70%,Governor,515,,
Jason  Levin,12,1.68%,Governor,515,,
Write-in,6,0.84%,Governor,515,,
Cast Votes: ,716,95.21%,Governor,515,,
Over Votes: ,0,0.00%,Governor,515,,
Under Votes: ,36,4.79%,Governor,515,,
Alan R Olsen,347,51.26%,State Senate,515,20,
Jamie Damon,329,48.60%,State Senate,515,20,
Write-in,1,0.15%,State Senate,515,20,
Cast Votes: ,677,90.03%,State Senate,515,20,
Over Votes: ,0,0.00%,State Senate,515,20,
Under Votes: ,75,9.97%,State Senate,515,20,
Bill Kennemer ,504,95.82%,State House,515,39,
Write-in  ,22,4.18%,State House,515,39,
Cast Votes: ,526,69.95%,State House,515,39,
Over Votes: ,0,0.00%,State House,515,39,
Under Votes:,226,30.05%,State House,515,39,
Mike Montchalin,31,4.61%,U.S. Senate,516,,
Jeff Merkley,289,43.01%,U.S. Senate,516,,
Christina Jean Lugo,20,2.98%,U.S. Senate,516,,
James E Leuenberger,19,2.83%,U.S. Senate,516,,
Monica Wehby,308,45.83%,U.S. Senate,516,,
Write-in,5,0.74%,U.S. Senate,516,,
Cast Votes: ,672,96.41%,U.S. Senate,516,,
Over Votes: ,0,0.00%,U.S. Senate,516,,
Under Votes: ,25,3.59%,U.S. Senate,516,,
Michael Meo,18,2.78%,U.S. House,516,3,
James Buchal,304,46.91%,U.S. House,516,3,
Earl Blumenauer,289,44.60%,U.S. House,516,3,
Jeffrey J Langan,17,2.62%,U.S. House,516,3,
David Walker,14,2.16%,U.S. House,516,3,
Write-in,6,0.93%,U.S. House,516,3,
Cast Votes: ,648,92.97%,U.S. House,516,3,
Over Votes: ,0,0.00%,U.S. House,516,3,
Under Votes: ,49,7.03%,U.S. House,516,3,
Dennis Richardson,388,57.57%,Governor,516,,
Chris Henry,5,0.74%,Governor,516,,
Aaron Auer,5,0.74%,Governor,516,,
John  Kitzhaber,245,36.35%,Governor,516,,
Paul Grad,11,1.63%,Governor,516,,
Jason  Levin,16,2.37%,Governor,516,,
Write-in,4,0.59%,Governor,516,,
Cast Votes: ,674,96.70%,Governor,516,,
Over Votes: ,0,0.00%,Governor,516,,
Under Votes: ,23,3.30%,Governor,516,,
Alan R Olsen,356,56.69%,State Senate,516,20,
Jamie Damon,268,42.68%,State Senate,516,20,
Write-in,4,0.64%,State Senate,516,20,
Cast Votes: ,628,90.10%,State Senate,516,20,
Over Votes: ,0,0.00%,State Senate,516,20,
Under Votes: ,69,9.90%,State Senate,516,20,
Bill Kennemer ,459,95.43%,State House,516,39,
Write-in   ,22,4.57%,State House,516,39,
Cast Votes: ,481,69.01%,State House,516,39,
Over Votes:,0,0.00%,State House,516,39,
Under Votes:,216,30.99%,State House,516,39,
Mike Montchalin,56,3.76%,U.S. Senate,517,,
Jeff Merkley,649,43.59%,U.S. Senate,517,,
Christina Jean Lugo,24,1.61%,U.S. Senate,517,,
James E Leuenberger,23,1.54%,U.S. Senate,517,,
Monica Wehby,731,49.09%,U.S. Senate,517,,
Write-in,6,0.40%,U.S. Senate,517,,
Cast Votes: ,1489,96.06%,U.S. Senate,517,,
Over Votes: ,0,0.00%,U.S. Senate,517,,
Under Votes: ,61,3.94%,U.S. Senate,517,,
Michael Meo,27,1.86%,U.S. House,517,3,
James Buchal,685,47.24%,U.S. House,517,3,
Earl Blumenauer,681,46.97%,U.S. House,517,3,
Jeffrey J Langan,39,2.69%,U.S. House,517,3,
David Walker,12,0.83%,U.S. House,517,3,
Write-in,6,0.41%,U.S. House,517,3,
Cast Votes: ,1450,93.55%,U.S. House,517,3,
Over Votes: ,0,0.00%,U.S. House,517,3,
Under Votes: ,100,6.45%,U.S. House,517,3,
Dennis Richardson,872,57.98%,Governor,517,,
Chris Henry,5,0.33%,Governor,517,,
Aaron Auer,10,0.66%,Governor,517,,
John  Kitzhaber,563,37.43%,Governor,517,,
Paul Grad,16,1.06%,Governor,517,,
Jason  Levin,31,2.06%,Governor,517,,
Write-in,7,0.47%,Governor,517,,
Cast Votes: ,1504,97.03%,Governor,517,,
Over Votes: ,0,0.00%,Governor,517,,
Under Votes: ,46,2.97%,Governor,517,,
Alan R Olsen,824,58.27%,State Senate,517,20,
Jamie Damon,585,41.37%,State Senate,517,20,
Write-in,5,0.35%,State Senate,517,20,
Cast Votes: ,1414,91.23%,State Senate,517,20,
Over Votes: ,0,0.00%,State Senate,517,20,
Under Votes: ,136,8.77%,State Senate,517,20,
Bill Kennemer ,1050,96.60%,State House,517,39,
Write-in ,37,3.40%,State House,517,39,
Cast Votes: ,1087,70.13%,State House,517,39,
Over Votes: ,0,0.00%,State House,517,39,
Under Votes:,463,29.87%,State House,517,39,
Mike Montchalin,51,3.60%,U.S. Senate,518,,
Jeff Merkley,596,42.12%,U.S. Senate,518,,
Christina Jean Lugo,41,2.90%,U.S. Senate,518,,
James E Leuenberger,22,1.55%,U.S. Senate,518,,
Monica Wehby,698,49.33%,U.S. Senate,518,,
Write-in,7,0.49%,U.S. Senate,518,,
Cast Votes: ,1415,95.61%,U.S. Senate,518,,
Over Votes: ,0,0.00%,U.S. Senate,518,,
Under Votes: ,65,4.39%,U.S. Senate,518,,
Michael Meo,30,2.22%,U.S. House,518,3,
James Buchal,657,48.56%,U.S. House,518,3,
Earl Blumenauer,616,45.53%,U.S. House,518,3,
Jeffrey J Langan,34,2.51%,U.S. House,518,3,
David Walker,13,0.96%,U.S. House,518,3,
Write-in,3,0.22%,U.S. House,518,3,
Cast Votes: ,1353,91.42%,U.S. House,518,3,
Over Votes: ,0,0.00%,U.S. House,518,3,
Under Votes: ,127,8.58%,U.S. House,518,3,
Dennis Richardson,847,59.73%,Governor,518,,
Chris Henry,12,0.85%,Governor,518,,
Aaron Auer,16,1.13%,Governor,518,,
John  Kitzhaber,487,34.34%,Governor,518,,
Paul Grad,24,1.69%,Governor,518,,
Jason  Levin,22,1.55%,Governor,518,,
Write-in,10,0.71%,Governor,518,,
Cast Votes: ,1418,95.81%,Governor,518,,
Over Votes: ,0,0.00%,Governor,518,,
Under Votes: ,62,4.19%,Governor,518,,
Alan R Olsen,780,58.82%,State Senate,518,20,
Jamie Damon,542,40.87%,State Senate,518,20,
Write-in,4,0.30%,State Senate,518,20,
Cast Votes: ,1326,89.59%,State Senate,518,20,
Over Votes: ,0,0.00%,State Senate,518,20,
Under Votes: ,154,10.41%,State Senate,518,20,
Bill Kennemer ,998,95.69%,State House,518,39,
Write-in  ,45,4.31%,State House,518,39,
Cast Votes:,1043,70.47%,State House,518,39,
Over Votes:,1,0.07%,State House,518,39,
Under Votes:,436,29.46%,State House,518,39,
Mike Montchalin,14,2.48%,U.S. Senate,519,,
Jeff Merkley,257,45.57%,U.S. Senate,519,,
Christina Jean Lugo,7,1.24%,U.S. Senate,519,,
James E Leuenberger,10,1.77%,U.S. Senate,519,,
Monica Wehby,272,48.23%,U.S. Senate,519,,
Write-in,4,0.71%,U.S. Senate,519,,
Cast Votes: ,564,94.47%,U.S. Senate,519,,
Over Votes: ,0,0.00%,U.S. Senate,519,,
Under Votes: ,33,5.53%,U.S. Senate,519,,
Raymond Baldwin,13,2.34%,U.S. House,519,5,
Daniel K Souza,11,1.98%,U.S. House,519,5,
Kurt Schrader,257,46.22%,U.S. House,519,5,
Tootie Smith,261,46.94%,U.S. House,519,5,
Marvin Sannes,13,2.34%,U.S. House,519,5,
Write-in,1,0.18%,U.S. House,519,5,
Cast Votes: ,556,93.13%,U.S. House,519,5,
Over Votes: ,0,0.00%,U.S. House,519,5,
Under Votes: ,41,6.87%,U.S. House,519,5,
Dennis Richardson,348,61.16%,Governor,519,,
Chris Henry,2,0.35%,Governor,519,,
Aaron Auer,7,1.23%,Governor,519,,
John  Kitzhaber,196,34.45%,Governor,519,,
Paul Grad,8,1.41%,Governor,519,,
Jason  Levin,4,0.70%,Governor,519,,
Write-in,4,0.70%,Governor,519,,
Cast Votes: ,569,95.31%,Governor,519,,
Over Votes: ,0,0.00%,Governor,519,,
Under Votes: ,28,4.69%,Governor,519,,
Alan R Olsen,309,58.19%,State Senate,519,20,
Jamie Damon,217,40.87%,State Senate,519,20,
Write-in,5,0.94%,State Senate,519,20,
Cast Votes: ,531,88.94%,State Senate,519,20,
Over Votes: ,0,0.00%,State Senate,519,20,
Under Votes: ,66,11.06%,State Senate,519,20,
Bill Kennemer ,409,94.02%,State House,519,39,
Write-in  ,26,5.98%,State House,519,39,
Cast Votes: ,435,72.86%,State House,519,39,
Over Votes:,0,0.00%,State House,519,39,
Under Votes: ,162,27.14%,State House,519,39,
Mike Montchalin,9,2.97%,U.S. Senate,520,,
Jeff Merkley,141,46.53%,U.S. Senate,520,,
Christina Jean Lugo,2,0.66%,U.S. Senate,520,,
James E Leuenberger,3,0.99%,U.S. Senate,520,,
Monica Wehby,146,48.18%,U.S. Senate,520,,
Write-in,2,0.66%,U.S. Senate,520,,
Cast Votes: ,303,95.89%,U.S. Senate,520,,
Over Votes: ,0,0.00%,U.S. Senate,520,,
Under Votes: ,13,4.11%,U.S. Senate,520,,
Michael Meo,1,0.34%,U.S. House,520,3,
James Buchal,143,49.31%,U.S. House,520,3,
Earl Blumenauer,137,47.24%,U.S. House,520,3,
Jeffrey J Langan,8,2.76%,U.S. House,520,3,
David Walker,1,0.34%,U.S. House,520,3,
Write-in,0,0.00%,U.S. House,520,3,
Cast Votes: ,290,91.77%,U.S. House,520,3,
Over Votes: ,0,0.00%,U.S. House,520,3,
Under Votes: ,26,8.23%,U.S. House,520,3,
Dennis Richardson,166,54.79%,Governor,520,,
Chris Henry,0,0.00%,Governor,520,,
Aaron Auer,1,0.33%,Governor,520,,
John  Kitzhaber,126,41.58%,Governor,520,,
Paul Grad,3,0.99%,Governor,520,,
Jason  Levin,6,1.98%,Governor,520,,
Write-in,1,0.33%,Governor,520,,
Cast Votes: ,303,95.89%,Governor,520,,
Over Votes: ,0,0.00%,Governor,520,,
Under Votes: ,13,4.11%,Governor,520,,
